date,ticker,open,high,low,close,volume,amount,pct_change
2022-11-29,000300.SH,3766.57,3854.77,3766.57,3848.42,178701392,289062336430.7,3.09
2022-11-30,000300.SH,3836.56,3867.66,3833.83,3853.04,157511400,250051468093.3,0.12
2022-12-01,000300.SH,3921.3,3944.56,3893.87,3894.77,169964585,306678195716.4,1.08
2022-12-02,000300.SH,3886.4,3898.11,3865.88,3870.95,116786350,201253166362.9,-0.61
2022-12-05,000300.SH,3907.64,3947.48,3900.67,3946.88,201747221,296615512326.6,1.96
2022-12-06,000300.SH,3929.01,3988.9,3923.0,3968.2,155108323,275583430840.8,0.54
2022-12-07,000300.SH,3956.67,3999.59,3944.18,3958.44,143001356,255490829027.1,-0.25
2022-12-08,000300.SH,3953.2,3971.49,3941.3,3959.18,115199986,198037690481.4,0.02
2022-12-09,000300.SH,3961.99,4003.32,3944.44,3998.24,153774954,268166789656.9,0.99
2022-12-12,000300.SH,3976.17,3983.43,3950.32,3953.44,125935368,227606300936.9,-1.12
2022-12-13,000300.SH,3953.55,3964.4,3939.98,3945.68,100994100,184020700110.0,-0.2
2022-12-14,000300.SH,3952.79,3972.74,3935.77,3954.89,98528006,196175108617.2,0.23
2022-12-15,000300.SH,3954.67,3963.5,3926.5,3951.99,88864725,181994889123.4,-0.07
2022-12-16,000300.SH,3931.23,3960.47,3929.49,3954.23,93178567,167488442588.9,0.06
2022-12-19,000300.SH,3952.77,3966.57,3878.44,3893.22,106919075,180801387702.4,-1.54
2022-12-20,000300.SH,3881.23,3881.27,3811.48,3829.02,83096822,164046440873.7,-1.65
2022-12-21,000300.SH,3839.0,3853.73,3821.4,3830.54,64839215,123450040359.8,0.04
2022-12-22,000300.SH,3859.2,3882.13,3821.34,3836.03,83705173,163970306950.9,0.14
2022-12-23,000300.SH,3811.62,3848.34,3805.95,3828.22,65278148,130559415565.7,-0.2
2022-12-26,000300.SH,3830.57,3856.81,3827.52,3843.49,73005712,148692832422.1,0.4
2022-12-27,000300.SH,3860.91,3891.85,3856.58,3887.85,77515350,152032206630.9,1.15
2022-12-28,000300.SH,3874.91,3884.72,3854.94,3871.26,84424656,160671122030.7,-0.43
2022-12-29,000300.SH,3854.24,3868.29,3838.48,3856.7,79394815,149011372437.3,-0.38
2022-12-30,000300.SH,3873.94,3887.55,3868.76,3871.63,78773272,148295049381.5,0.39
2023-01-03,000300.SH,3864.84,3893.99,3831.25,3887.9,115051875,207540165953.2,0.42
2023-01-04,000300.SH,3886.25,3905.9,3873.65,3892.95,110660743,198997711686.0,0.13
2023-01-05,000300.SH,3913.49,3974.88,3912.26,3968.58,116502395,256312608292.0,1.94
