,equity
2021-04-30,1037649.7222317149
2021-05-06,1034939.1124483892
2021-05-07,1039795.4181194255
2021-05-10,1039767.0880707774
2021-05-11,1044322.0385296671
2021-05-12,1045818.2595154591
2021-05-13,1044493.7513384318
2021-05-14,1057171.383573924
2021-05-17,1057000.163394723
2021-05-18,1056334.437525284
2021-05-19,1049555.773957263
2021-05-20,1049336.9688827759
2021-05-21,1045797.5598029721
2021-05-24,1048724.152757124
2021-05-25,1060602.8180204243
2021-05-26,1061342.2218825738
2021-05-27,1064014.9420849225
2021-05-28,1060182.7998530096
2021-05-31,1055282.2011161316
2021-06-01,1055632.3758384357
2021-06-02,1055133.0148614454
2021-06-03,1054278.8837361932
2021-06-04,1051120.6789816848
2021-06-07,1050079.8536082646
2021-06-08,1052202.9363884968
2021-06-09,1051234.164908656
2021-06-10,1051479.0130523795
2021-06-11,1053245.4894612224
2021-06-15,1043778.8075894248
2021-06-16,1043735.1905943906
2021-06-17,1041567.7361461248
2021-06-18,1036805.3515925327
2021-06-21,1039600.7675591055
2021-06-22,1044897.5377739267
2021-06-23,1050982.540877263
2021-06-24,1055316.9997164628
2021-06-25,1056537.2379905805
2021-06-28,1058169.9913567817
2021-06-29,1049562.8463642779
2021-06-30,1051267.150426354
2021-07-01,1049809.9825174217
2021-07-02,1043344.0731052196
2021-07-05,1041168.4366178813
2021-07-06,1049007.4548123004
2021-07-07,1047905.1898238868
2021-07-08,1041905.6531482859
2021-07-09,1044431.3446340511
2021-07-12,1041321.6431672833
2021-07-13,1044118.6261071861
2021-07-14,1040436.8848123403
2021-07-15,1037811.9822906688
2021-07-16,1040296.2443742278
2021-07-19,1037842.602041934
2021-07-20,1034446.9956422064
2021-07-21,1029078.371381942
2021-07-22,1032307.7283507502
2021-07-23,1029882.4072884369
2021-07-26,1016907.4794492759
2021-07-27,1006971.3297663522
2021-07-28,997769.4640556567
2021-07-29,993701.8415807267
2021-07-30,991255.6305007994
2021-08-02,1005721.191229717
2021-08-03,1007104.2601018398
2021-08-04,1003444.7341715829
2021-08-05,1003726.9509205822
2021-08-06,1000859.6501906707
2021-08-09,1011995.1158549725
2021-08-10,1013690.1838676439
