date,open,high,low,close,volume,amount,pct_change,turnover,ticker,adj_factor,is_suspended,is_limit_up,is_limit_down
2024-02-05,7.63,7.87,7.55,7.82,1803592,1674566499.46,1.43,0.93,000001.SZ,1.0,False,False,False
2024-02-06,7.74,8.12,7.73,8.12,1995410,1900324218.2,3.84,1.03,000001.SZ,1.0,False,False,False
2024-02-07,8.06,8.11,7.92,8.05,2062015,1975435102.12,-0.86,1.06,000001.SZ,1.0,False,False,False
2024-02-08,8.02,8.11,7.96,8.11,1656814,1593505690.13,0.75,0.85,000001.SZ,1.0,False,False,False
2024-02-19,8.2,8.25,8.09,8.25,1605243,1564088444.93,1.73,0.83,000001.SZ,1.0,False,False,False
2024-02-20,8.23,8.28,8.17,8.26,1123564,1098987813.26,0.12,0.58,000001.SZ,1.0,False,False,False
2024-02-21,8.22,9.24,8.21,9.24,5055285,5295259396.81,11.86,2.61,000001.SZ,1.0,False,True,False
2024-02-22,9.09,9.35,9.06,9.34,4922325,5307736374.06,1.08,2.54,000001.SZ,1.0,False,False,False
2024-02-23,9.32,9.68,9.28,9.29,3567480,3917316281.52,-0.54,1.84,000001.SZ,1.0,False,False,False
2024-02-26,9.22,9.32,8.94,8.97,2862609,3048205024.78,-3.44,1.48,000001.SZ,1.0,False,False,False
2024-02-27,8.93,9.04,8.9,8.94,1981905,2083027074.06,-0.33,1.02,000001.SZ,1.0,False,False,False
2024-02-28,8.95,9.14,8.84,8.93,3082693,3253340358.41,-0.11,1.59,000001.SZ,1.0,False,False,False
2024-02-29,8.86,9.03,8.85,9.03,1845344,1936020982.56,1.12,0.95,000001.SZ,1.0,False,False,False
2024-03-01,9.03,9.04,8.87,8.93,1828103,1917689306.77,-1.11,0.94,000001.SZ,1.0,False,False,False
2024-03-04,8.89,8.94,8.76,8.77,1655930,1719562862.03,-1.79,0.85,000001.SZ,1.0,False,False,False
2024-03-05,8.74,8.91,8.7,8.87,1817319,1889144330.16,1.14,0.94,000001.SZ,1.0,False,False,False
2024-03-06,8.84,8.89,8.77,8.77,1345640,1396940060.42,-1.13,0.69,000001.SZ,1.0,False,False,False
2024-03-07,8.77,9.08,8.77,8.82,2016166,2109589237.19,0.57,1.04,000001.SZ,1.0,False,False,False
2024-03-08,8.79,8.88,8.74,8.82,1113974,1154491251.23,0.0,0.57,000001.SZ,1.0,False,False,False
2024-03-11,8.82,8.91,8.78,8.91,1210673,1260212019.66,1.02,0.62,000001.SZ,1.0,False,False,False
2024-03-12,8.92,9.03,8.85,9.0,1641262,1721999708.11,1.01,0.85,000001.SZ,1.0,False,False,False
2024-03-13,8.97,8.99,8.74,8.77,1768039,1834654994.4,-2.56,0.91,000001.SZ,1.0,False,False,False
2024-03-14,8.74,8.82,8.64,8.67,1409400,1448499697.91,-1.14,0.73,000001.SZ,1.0,False,False,False
2024-03-15,8.99,9.19,8.94,9.04,3750208,3973799130.9,4.27,1.93,000001.SZ,1.0,False,False,False
2024-03-18,9.0,9.05,8.93,8.98,1671397,1761249149.98,-0.66,0.86,000001.SZ,1.0,False,False,False
2024-03-19,8.97,8.98,8.83,8.84,1293216,1351069630.23,-1.56,0.67,000001.SZ,1.0,False,False,False
2024-03-20,8.82,8.91,8.81,8.89,872663,910278572.98,0.57,0.45,000001.SZ,1.0,False,False,False
2024-03-21,8.89,8.96,8.86,8.91,864466,905422293.67,0.22,0.45,000001.SZ,1.0,False,False,False
2024-03-22,8.89,8.89,8.75,8.8,1028142,1065535606.11,-1.23,0.53,000001.SZ,1.0,False,False,False
2024-03-25,8.79,8.93,8.76,8.84,953202,993304120.45,0.45,0.49,000001.SZ,1.0,False,False,False
2024-03-26,8.89,9.1,8.86,9.04,1740021,1835376190.72,2.26,0.9,000001.SZ,1.0,False,False,False
2024-03-27,9.0,9.07,8.95,8.97,1274136,1347397150.36,-0.77,0.66,000001.SZ,1.0,False,False,False
2024-03-28,8.95,9.01,8.82,8.93,1302189,1362980388.48,-0.45,0.67,000001.SZ,1.0,False,False,False
2024-03-29,8.89,9.01,8.87,8.96,872759,917332315.96,0.34,0.45,000001.SZ,1.0,False,False,False
