,oos_daily_return
2023-05-24,1.0803488557711758
2023-05-25,1.0739439601248069
2023-05-26,1.075170476782633
2023-05-29,1.0756693306259988
2023-05-30,1.0707868594713195
2023-05-31,1.0655760719484266
2023-06-01,1.0609292961785364
2023-06-02,1.082490436483955
2023-06-05,1.0826494443707289
2023-06-06,1.0694973481131513
2023-06-07,1.0607287715151033
2023-06-08,1.0715727740855707
2023-06-09,1.0791470379852743
2023-06-12,1.0902317726667425
2023-06-13,1.091093115671294
2023-06-14,1.095136391813014
2023-06-15,1.108031523257926
2023-06-16,1.1082374309607603
2023-06-19,1.1029370974906152
2023-06-20,1.0947185796156504
2023-06-21,1.0799748396237214
2023-06-26,1.0688446682865125
2023-06-27,1.0859125610104918
2023-06-28,1.083794455488398
2023-06-29,1.0757304382036899
2023-06-30,1.08366677453191
2023-07-03,1.08366677453191
2023-07-04,1.08366677453191
2023-07-05,1.08366677453191
2023-07-06,1.08366677453191
2023-07-07,1.08366677453191
2023-07-10,1.08366677453191
2023-07-11,1.08366677453191
2023-07-12,1.08366677453191
2023-07-13,1.08366677453191
2023-07-14,1.08366677453191
2023-07-17,1.08366677453191
2023-07-18,1.08366677453191
2023-07-19,1.08366677453191
2023-07-20,1.08366677453191
2023-07-21,1.08366677453191
2023-07-24,1.08366677453191
2023-07-25,1.08366677453191
2023-07-26,1.08366677453191
2023-07-27,1.08366677453191
2023-07-28,1.08366677453191
2023-07-31,1.08366677453191
2023-08-01,1.0827998411122843
2023-08-02,1.0733296418060327
2023-08-03,1.0808856876220267
2023-08-04,1.0785832896004144
2023-08-07,1.0708822873812367
2023-08-08,1.0746728409091222
2023-08-09,1.0691146469099022
2023-08-10,1.0753874357961843
2023-08-11,1.0588119617118514
2023-08-14,1.0590441152147518
2023-08-15,1.0641132011001289
2023-08-16,1.0578460793127156
2023-08-17,1.0570022539674497
2023-08-18,1.0555344252935368
2023-08-21,1.0450549725572253
2023-08-22,1.0499971995028792
2023-08-23,1.041525419668832
2023-08-24,1.036112012084565
2023-08-25,1.0336357208398066
2023-08-28,1.043663175335585
2023-08-29,1.0509235851734795
2023-08-30,1.051717888068816
2023-08-31,1.0550251841388847
2023-09-01,1.0565478484888022
2023-09-04,1.0726257346583556
2023-09-05,1.0687086771413856
2023-09-06,1.0666242989537724
2023-09-07,1.0542132210556392
2023-09-08,1.0478356637324635
2023-09-11,1.0561210673001578
2023-09-12,1.0586643934156978
2023-09-13,1.0567052886849604
2023-09-14,1.0632412559558846
2023-09-15,1.0602333590701059
2023-09-18,1.0597091338009326
2023-09-19,1.0621274178982425
2023-09-20,1.0582150043794614
2023-09-21,1.0511989813527582
2023-09-22,1.0575989815368283
2023-09-25,1.0563213638768378
2023-09-26,1.0484649062389815
2023-09-27,1.0493948275705995
2023-09-28,1.0482637759266185
2023-10-09,1.0447448908658943
