,equity
2021-04-30,1036137.2035153764
2021-05-06,1033370.3101784516
2021-05-07,1037272.8749777117
2021-05-10,1038427.9633166607
2021-05-11,1043381.0885810732
2021-05-12,1045201.0803787998
2021-05-13,1042975.5459967355
2021-05-14,1057417.6658956616
2021-05-17,1057237.2547970978
2021-05-18,1058832.313290527
2021-05-19,1051565.2735850606
2021-05-20,1050436.0751762253
2021-05-21,1045658.3609943421
2021-05-24,1050902.578394579
2021-05-25,1063578.5630788833
2021-05-26,1064682.7168106746
2021-05-27,1068047.5508313244
2021-05-28,1064724.3583907282
2021-05-31,1062797.0687230842
2021-06-01,1062906.351136933
2021-06-02,1060739.670223782
2021-06-03,1061539.4718901315
2021-06-04,1056423.945080543
2021-06-07,1057489.6505821107
2021-06-08,1058549.488279651
2021-06-09,1056468.0604516065
2021-06-10,1056697.6294770734
2021-06-11,1054963.0575232569
2021-06-15,1046262.919971458
2021-06-16,1044734.1174496274
2021-06-17,1044318.1178036765
2021-06-18,1040236.6927237604
2021-06-21,1041167.55462169
2021-06-22,1045980.7115753326
2021-06-23,1051098.7832700359
2021-06-24,1057447.018112856
2021-06-25,1059579.7961075814
2021-06-28,1064294.5479504073
2021-06-29,1055021.1106268507
2021-06-30,1057471.135505435
2021-07-01,1053952.4844197333
2021-07-02,1045019.5956265734
2021-07-05,1040897.3400282155
2021-07-06,1047830.5385937247
2021-07-07,1049667.1907083322
2021-07-08,1041182.9548503011
2021-07-09,1043169.8158932633
2021-07-12,1041036.1930838558
2021-07-13,1046109.5684225168
2021-07-14,1039217.6027513621
2021-07-15,1039184.9060150516
2021-07-16,1041801.0919967837
2021-07-19,1038922.278250992
2021-07-20,1036752.1519874583
2021-07-21,1031102.7923714241
2021-07-22,1037175.1168941146
2021-07-23,1036653.9644903889
2021-07-26,1023518.2387552895
2021-07-27,1011017.3846423444
2021-07-28,1001636.7345155454
2021-07-29,998678.1697372915
2021-07-30,997955.4571088979
2021-08-02,1011511.2712446521
2021-08-03,1012950.4088398721
2021-08-04,1009457.4277890668
2021-08-05,1008879.2861068038
2021-08-06,1005302.7273474567
2021-08-09,1016163.6928012099
2021-08-10,1019592.4288149887
2021-08-11,1022915.2179118488
2021-08-12,1021794.2115222958
2021-08-13,1018890.5350620679
2021-08-16,1023983.2336057164
2021-08-17,1017096.4055951763
2021-08-18,1032646.0035654693
2021-08-19,1030610.6329441596
2021-08-20,1027667.7042315962
2021-08-23,1037600.9501441526
2021-08-24,1042942.0234523223
2021-08-25,1050390.7799175289
2021-08-26,1048223.5791627248
2021-08-27,1049480.5720493954
2021-08-30,1048980.0750573645
2021-08-31,1064884.739829654
2021-09-01,1085355.020337595
2021-09-02,1091496.5395628682
2021-09-03,1100840.0959268897
2021-09-06,1113596.034369518
2021-09-07,1122126.4333834713
2021-09-08,1135530.4427941174
2021-09-09,1142922.1593709646
2021-09-10,1138289.084757993
2021-09-13,1145243.1180187757
2021-09-14,1124119.6017512325
2021-09-15,1119250.8136030778
2021-09-16,1110308.6126611414
2021-09-17,1112910.9790421198
2021-09-22,1124690.710504594
2021-09-23,1135182.453165946
2021-09-24,1124943.9856668217
2021-09-27,1114189.7519623912
2021-09-28,1127347.902431002
2021-09-29,1116639.4338697158
2021-09-30,1119601.9789173817
2021-10-08,1130222.338083333
2021-10-11,1138462.9371573543
2021-10-12,1125578.1060085157
2021-10-13,1123496.2679066658
2021-10-14,1120614.3448574645
2021-10-15,1116101.5292095663
2021-10-18,1111056.8964704075
2021-10-19,1115178.713943001
2021-10-20,1110846.164396901
2021-10-21,1111303.9061099463
2021-10-22,1112691.505677235
2021-10-25,1109328.7452938042
2021-10-26,1110108.645430287
2021-10-27,1090180.962580577
2021-10-28,1085747.3296803439
2021-10-29,1097379.1849671737
2021-11-01,1106274.8300311863
2021-11-02,1099704.9189512597
2021-11-03,1099030.928902442
2021-11-04,1102197.776230831
2021-11-05,1099212.8102399567
2021-11-08,1100129.053736215
2021-11-09,1105318.4597065416
2021-11-10,1105458.5986903345
2021-11-11,1117187.7105573562
2021-11-12,1119481.9689240917
2021-11-15,1124304.8419459304
2021-11-16,1118405.7169780736
2021-11-17,1121994.2774967905
2021-11-18,1116666.8217414804
2021-11-19,1124970.0169709828
2021-11-22,1126136.7129935543
2021-11-23,1132906.7794224813
2021-11-24,1130943.1908696769
2021-11-25,1129072.3156919524
2021-11-26,1121678.8453794504
2021-11-29,1118354.05793044
2021-11-30,1121597.6751551724
2021-12-01,1127539.1111362407
2021-12-02,1129929.0176802052
2021-12-03,1141697.7480217856
2021-12-06,1138500.4848935255
2021-12-07,1145507.2126290796
2021-12-08,1145742.7210267568
2021-12-09,1153793.7514797996
2021-12-10,1145886.538450261
2021-12-13,1144460.7663708169
2021-12-14,1137775.0587066386
2021-12-15,1138041.7030297054
2021-12-16,1144535.8200400814
2021-12-17,1142988.5130587618
2021-12-20,1142574.400663735
2021-12-21,1152739.921489662
2021-12-22,1150347.4944557806
2021-12-23,1151674.1430576209
2021-12-24,1150578.512086978
2021-12-27,1155985.2905165812
2021-12-28,1160385.4747440047
2021-12-29,1157740.1810536273
2021-12-30,1159561.3375938996
2021-12-31,1165983.886657332
2022-01-04,1176528.6541034079
2022-01-05,1181399.6179075895
2022-01-06,1176636.8198329431
2022-01-07,1188006.6858579768
2022-01-10,1190142.1099914631
2022-01-11,1192156.6452313864
2022-01-12,1192149.0903248123
2022-01-13,1192101.635653064
2022-01-14,1173202.620261083
2022-01-17,1171511.186604796
2022-01-18,1182608.2658529708
2022-01-19,1183539.4334026505
2022-01-20,1191095.9090790795
2022-01-21,1184489.327790001
2022-01-24,1174077.7579887442
2022-01-25,1151589.141671833
2022-01-26,1157155.5069513216
2022-01-27,1138408.1228933267
2022-01-28,1138997.4143097156
2022-02-07,1159019.7436387085
2022-02-08,1177987.831445527
2022-02-09,1185044.0888795112
2022-02-10,1188266.8479442792
2022-02-11,1181471.8077631295
2022-02-14,1167043.830493419
2022-02-15,1168284.486089902
2022-02-16,1171055.5912928667
2022-02-17,1164783.9118698305
2022-02-18,1173215.1631238046
2022-02-21,1177043.6669868045
2022-02-22,1165991.6968859045
2022-02-23,1175295.5438550299
2022-02-24,1154919.6235155547
2022-02-25,1158958.9229071778
2022-02-28,1159909.7534039419
2022-03-01,1160343.2504819368
2022-03-02,1161015.7531261991
2022-03-03,1161554.1289530057
2022-03-04,1156496.7611202244
2022-03-07,1137075.6296528417
2022-03-08,1110080.6654030741
2022-03-09,1082169.66136309
2022-03-10,1088022.8695551406
2022-03-11,1102191.3345904923
2022-03-14,1085758.4404553734
2022-03-15,1036957.8523825557
2022-03-16,1065286.1038808895
2022-03-17,1079314.9193234919
2022-03-18,1089439.05582449
2022-03-21,1088762.5836218786
2022-03-22,1093482.5439276872
2022-03-23,1091570.6978002586
2022-03-24,1086837.638049049
2022-03-25,1081757.3901830323
2022-03-28,1082941.4555666156
2022-03-29,1080126.6803194256
2022-03-30,1099018.7990050924
2022-03-31,1094724.5919641233
2022-04-01,1104478.0048827173
2022-04-06,1113582.4586490656
2022-04-07,1095574.1343405533
2022-04-08,1095591.4598940443
2022-04-11,1068898.7214153649
2022-04-12,1093811.0221067234
2022-04-13,1081555.5105797134
2022-04-14,1091476.58426374
2022-04-15,1089377.9778254926
2022-04-18,1092776.9098520302
2022-04-19,1094107.350922789
2022-04-20,1086410.2994528555
2022-04-21,1064883.1493569587
2022-04-22,1066598.7893219613
2022-04-25,1017152.1163492481
2022-04-26,994076.0653649113
2022-04-27,1019505.7870052567
2022-04-28,1013715.9299078394
2022-04-29,1035315.662772804
2022-05-05,1040506.2762751499
2022-05-06,1024423.0841040465
2022-05-09,1029859.4096058063
2022-05-10,1036709.4895066093
2022-05-11,1040187.4910644904
2022-05-12,1040041.267762744
2022-05-13,1051063.054204971
2022-05-16,1046527.7309894775
2022-05-17,1045240.7976872021
2022-05-18,1046593.5888920932
2022-05-19,1047775.8396481841
2022-05-20,1059540.7585788057
2022-05-23,1060663.1923196788
2022-05-24,1035213.5607781465
2022-05-25,1045062.3017418503
2022-05-26,1057221.4428774028
2022-05-27,1056228.3717543264
2022-05-30,1058723.9821911072
2022-05-31,1067398.9317283237
2022-06-01,1063119.08648901
2022-06-02,1065074.3277992308
2022-06-06,1064365.9999324954
2022-06-07,1066493.397244288
2022-06-08,1072695.3428421505
2022-06-09,1072054.4408666312
2022-06-10,1081767.9334269455
2022-06-13,1069246.5790409488
2022-06-14,1088008.383486712
2022-06-15,1104791.0487351432
2022-06-16,1089418.8362853797
2022-06-17,1090829.7046815832
2022-06-20,1087736.856823995
2022-06-21,1091995.094493033
2022-06-22,1078921.9642242885
2022-06-23,1091478.95378438
2022-06-24,1090693.0946276425
2022-06-27,1089946.656297842
2022-06-28,1095317.9774416983
2022-06-29,1090358.4279406802
2022-06-30,1092065.0597760414
2022-07-01,1086623.5628845894
2022-07-04,1091906.6651295538
2022-07-05,1089178.7568533383
2022-07-06,1081441.0490708712
2022-07-07,1080217.15131724
2022-07-08,1084091.5498601159
2022-07-11,1082848.9028641658
2022-07-12,1084429.7416545611
2022-07-13,1087373.6039398047
2022-07-14,1077966.2667506752
2022-07-15,1060553.1192850366
2022-07-18,1074979.0807393165
2022-07-19,1078630.502906376
2022-07-20,1084801.725731209
2022-07-21,1079444.9305472064
2022-07-22,1082296.4911094948
2022-07-25,1081653.7115903604
2022-07-26,1083495.5009517455
2022-07-27,1079329.3604293359
2022-07-28,1079371.0932720362
2022-07-29,1071184.0020472354
2022-08-01,1068228.8692487546
2022-08-02,1046425.2210832521
2022-08-03,1040862.257460731
2022-08-04,1049252.9474959038
2022-08-05,1064241.7335053447
2022-08-08,1063437.3005774133
2022-08-09,1062581.304410337
2022-08-10,1058123.2307394212
2022-08-11,1083488.2489736467
2022-08-12,1088263.8284181228
2022-08-15,1080291.2076270403
2022-08-16,1077814.5047012751
2022-08-17,1089484.1696822122
2022-08-18,1086027.9477848422
2022-08-19,1087410.8765355623
2022-08-22,1089460.574006876
2022-08-23,1088049.3691764106
2022-08-24,1079449.934601078
2022-08-25,1089301.7837250244
2022-08-26,1089083.3132125302
2022-08-29,1090323.2440986852
2022-08-30,1093100.5437555711
2022-08-31,1097819.7082369658
2022-09-01,1090407.7176215705
