,equity
2021-07-01,1090614.5914232186
2021-07-02,1080214.5007021124
2021-07-05,1087582.736963188
2021-07-06,1076842.7288729264
2021-07-07,1086936.074873999
2021-07-08,1081695.48003143
2021-07-09,1081558.998736092
2021-07-12,1093172.8887626166
2021-07-13,1095123.0820126168
2021-07-14,1090099.3613723933
2021-07-15,1096759.1732869865
2021-07-16,1090799.1014584047
2021-07-19,1087203.2292347178
2021-07-20,1087070.816451625
2021-07-21,1099861.9862752613
2021-07-22,1104992.5952339694
2021-07-23,1102383.8541401557
2021-07-26,1085096.5310528926
2021-07-27,1074514.3199106592
2021-07-28,1069556.311144026
2021-07-29,1087128.7777126613
2021-07-30,1090188.8323948404
2021-08-02,1103875.3124284637
2021-08-03,1092633.1216431884
2021-08-04,1100618.2208713733
2021-08-05,1101535.8691350145
2021-08-06,1093984.0860334598
2021-08-09,1101745.9803754045
2021-08-10,1103558.7939920486
2021-08-11,1101763.0893517237
2021-08-12,1099897.801799132
2021-08-13,1095402.392844374
2021-08-16,1102204.971783326
2021-08-17,1080588.233546566
2021-08-18,1100333.9451270946
2021-08-19,1107389.235471871
2021-08-20,1110323.6282648535
2021-08-23,1129986.7181344295
2021-08-24,1134919.5990254227
2021-08-25,1147376.5682449497
2021-08-26,1137250.6625745343
2021-08-27,1148183.5221999155
2021-08-30,1142666.01509466
2021-08-31,1154700.1883947207
2021-09-01,1165804.4321181988
2021-09-02,1187375.2190096448
2021-09-03,1182305.1222598585
2021-09-06,1187226.795185059
2021-09-07,1201353.5455021295
2021-09-08,1209844.3755491793
2021-09-09,1225182.4388453905
2021-09-10,1229027.1572582421
2021-09-13,1240117.0094013365
2021-09-14,1222275.1201165635
2021-09-15,1221077.6856713013
2021-09-16,1195740.9002650776
2021-09-17,1191027.838296883
2021-09-22,1212339.0456529942
2021-09-23,1219124.037094435
2021-09-24,1209698.413406619
2021-09-27,1185799.9568740546
2021-09-28,1199043.92679685
2021-09-29,1183867.4686654208
2021-09-30,1195561.402215462
2021-10-08,1186085.9277625314
2021-10-11,1188253.6180479415
2021-10-12,1171110.8291196208
2021-10-13,1174096.6171104594
2021-10-14,1178300.5336519778
2021-10-15,1183639.6934097875
2021-10-18,1189721.141423855
2021-10-19,1190169.8498227778
2021-10-20,1193896.3615347247
2021-10-21,1197807.194771586
2021-10-22,1186399.9250162796
2021-10-25,1194900.6196914855
2021-10-26,1193883.254775356
2021-10-27,1183139.138950258
2021-10-28,1174743.8294154864
2021-10-29,1187938.8827703272
2021-11-01,1177527.5085399912
2021-11-02,1168039.761707637
2021-11-03,1168026.7187205593
2021-11-04,1174361.2850967762
2021-11-05,1166981.3728251248
2021-11-08,1173044.1766552639
2021-11-09,1179454.3115849046
2021-11-10,1170036.5690017864
2021-11-11,1181211.3499301586
2021-11-12,1191899.1387318263
2021-11-15,1188008.6615836623
2021-11-16,1177806.3007408257
2021-11-17,1186518.2541542007
2021-11-18,1182583.2667507264
2021-11-19,1193513.3596684965
2021-11-22,1199241.415280198
2021-11-23,1199985.0930052025
2021-11-24,1190915.0271685745
2021-11-25,1192416.0427662844
2021-11-26,1186480.3987584733
2021-11-29,1190729.23107334
2021-11-30,1194153.6397450208
2021-12-01,1198640.7029672514
2021-12-02,1198381.7552777624
2021-12-03,1211135.1290499351
2021-12-06,1201095.3486630714
2021-12-07,1199503.5240517561
2021-12-08,1206880.9526671923
2021-12-09,1214978.5377549042
2021-12-10,1206447.3086557856
2021-12-13,1207210.735027538
2021-12-14,1206080.7681977507
2021-12-15,1207314.4137667818
2021-12-16,1209441.9886571984
2021-12-17,1203672.5321549901
2021-12-20,1203020.4079238542
2021-12-21,1218306.2587406712
2021-12-22,1224617.5986579207
2021-12-23,1235685.4077880848
2021-12-24,1236936.3871579627
2021-12-27,1230983.2822342406
2021-12-28,1228430.9291389443
2021-12-29,1218858.142060533
2021-12-30,1228182.2286548165
2021-12-31,1234155.1625840631
2022-01-04,1241452.1992282304
2022-01-05,1228759.989623242
2022-01-06,1220160.6533672113
2022-01-07,1216414.2797677303
2022-01-10,1220913.8797101388
2022-01-11,1208087.1749700333
2022-01-12,1216799.7479302022
2022-01-13,1202971.7824635895
2022-01-14,1200730.6774172403
2022-01-17,1219370.8735365497
2022-01-18,1229082.7241346105
2022-01-19,1220053.7243579123
2022-01-20,1222832.4908383496
2022-01-21,1210627.3956454622
2022-01-24,1206919.1946853339
2022-01-25,1184664.710170613
2022-01-26,1190614.6556020235
2022-01-27,1171170.6618570152
2022-01-28,1172912.6814093208
2022-02-07,1179659.2170019476
2022-02-08,1201941.309974092
2022-02-09,1205837.5171710283
2022-02-10,1216899.5782491292
2022-02-11,1214975.5939715565
2022-02-14,1193309.9426582332
2022-02-15,1184129.42555409
2022-02-16,1192425.852684679
2022-02-17,1185155.1361284833
2022-02-18,1198528.8675427001
2022-02-21,1195721.736179216
2022-02-22,1188279.4722945197
2022-02-23,1181695.5583483852
2022-02-24,1161089.6868529555
2022-02-25,1163947.378627619
2022-02-28,1167005.8902737726
2022-03-01,1169875.324470186
2022-03-02,1175932.5859790435
2022-03-03,1193915.712764818
2022-03-04,1187077.2519325085
2022-03-07,1164949.3658417696
2022-03-08,1138644.6432581907
2022-03-09,1122092.49340991
2022-03-10,1135089.1878789014
2022-03-11,1143269.0419243048
2022-03-14,1120162.7346267824
2022-03-15,1065663.8209689152
2022-03-16,1103814.211992492
2022-03-17,1108746.2577421395
2022-03-18,1127734.7318739376
2022-03-21,1121276.401892861
2022-03-22,1128942.1709015132
2022-03-23,1124123.740345112
2022-03-24,1122127.391508613
2022-03-25,1114326.3611955382
2022-03-28,1118283.611453691
2022-03-29,1117701.4395121566
2022-03-30,1131631.8314412197
2022-03-31,1133195.6310037572
2022-04-01,1153856.4899817496
2022-04-06,1166399.4734596515
2022-04-07,1151037.0525833042
2022-04-08,1160039.9490955982
2022-04-11,1148392.5848733422
2022-04-12,1166640.8981762982
2022-04-13,1160777.9071640752
2022-04-14,1160180.7241102897
2022-04-15,1162963.5742482592
2022-04-18,1157265.9353866787
2022-04-19,1165313.0488525645
2022-04-20,1149287.7676366398
2022-04-21,1136643.6636051177
2022-04-22,1148017.6919689868
2022-04-25,1112450.5600740402
2022-04-26,1099784.8641373701
2022-04-27,1114743.5933738477
2022-04-28,1128029.9603496578
2022-04-29,1128387.8340517348
2022-05-05,1129254.7091496405
2022-05-06,1111233.9860632282
2022-05-09,1110212.4521654062
2022-05-10,1119186.4430238793
2022-05-11,1116651.9647949766
2022-05-12,1116393.16273404
2022-05-13,1133536.6930611066
2022-05-16,1129736.0703643328
2022-05-17,1130350.4520704073
2022-05-18,1126673.70047085
2022-05-19,1129983.0186891966
2022-05-20,1136637.4902550639
2022-05-23,1132635.3528494926
2022-05-24,1121547.0150056214
2022-05-25,1136388.239236604
2022-05-26,1145609.1405769507
2022-05-27,1147892.7765326097
2022-05-30,1144351.2564255416
2022-05-31,1151107.8362519275
2022-06-01,1151123.381834213
2022-06-02,1146669.9490782504
2022-06-06,1148660.379832367
2022-06-07,1154313.8618968502
2022-06-08,1165246.7252195135
2022-06-09,1165277.382467142
2022-06-10,1176941.7751737342
2022-06-13,1160605.5187132494
2022-06-14,1175343.5344266668
2022-06-15,1176669.09246306
2022-06-16,1160478.6735110248
2022-06-17,1162925.2710009078
2022-06-20,1149888.2056154432
2022-06-21,1157793.1372099386
2022-06-22,1146806.3504351017
2022-06-23,1155680.4638111158
2022-06-24,1154952.4729509247
2022-06-27,1160074.2113035566
2022-06-28,1169142.4975543139
2022-06-29,1166746.1371853275
2022-06-30,1168062.497725682
2022-07-01,1169317.668536944
2022-07-04,1177492.2927609028
2022-07-05,1168758.385408447
2022-07-06,1152732.853711727
2022-07-07,1153593.6325658117
2022-07-08,1158257.5778894871
2022-07-11,1146527.6633978847
2022-07-12,1139865.917347355
2022-07-13,1151381.955735835
2022-07-14,1147660.3196907896
2022-07-15,1133844.4559973527
2022-07-18,1144477.2772499623
2022-07-19,1143911.1470314262
2022-07-20,1149774.1173980911
2022-07-21,1140927.7718556924
2022-07-22,1139254.481009373
2022-07-25,1137845.5506718643
2022-07-26,1145855.6417207143
2022-07-27,1141658.9533528571
2022-07-28,1135630.0573750692
2022-07-29,1118705.6026132652
2022-08-01,1127297.5951637349
2022-08-02,1108664.1451618765
2022-08-03,1098970.0381150423
2022-08-04,1101361.0248490942
2022-08-05,1114701.8971534483
2022-08-08,1118951.035360185
2022-08-09,1118214.0479856082
2022-08-10,1118612.55520799
2022-08-11,1140519.1727744942
2022-08-12,1137328.2945069356
2022-08-15,1137545.6999458391
2022-08-16,1134964.2328545025
2022-08-17,1147403.7350612704
2022-08-18,1148930.2418945918
2022-08-19,1141519.0289294866
2022-08-22,1143652.6185612467
2022-08-23,1143390.8529662318
2022-08-24,1121449.2339982532
2022-08-25,1127874.2455258549
2022-08-26,1124861.0844133445
2022-08-29,1130950.8927722578
2022-08-30,1130019.783738474
2022-08-31,1118022.0390082689
2022-09-01,1110474.9486459228
2022-09-02,1115434.3776316042
2022-09-05,1122561.8131073087
2022-09-06,1131531.1488496945
2022-09-07,1131427.6423693849
2022-09-08,1136071.33214419
2022-09-09,1143194.8663936944
2022-09-13,1141461.271305407
2022-09-14,1131964.8851166496
2022-09-15,1129370.0808311664
2022-09-16,1102309.6422445304
2022-09-19,1105112.8021085467
2022-09-20,1103627.0142015975
2022-09-21,1105442.1500505388
2022-09-22,1099164.412215481
2022-09-23,1101080.388457298
2022-09-26,1088470.6725067198
2022-09-27,1100993.0436770811
2022-09-28,1093977.738357118
2022-09-29,1086634.7956621323
2022-09-30,1085636.7884367332
2022-10-10,1082323.0067214933
2022-10-11,1084786.8958345326
2022-10-12,1096349.8052375764
2022-10-13,1093402.61882326
2022-10-14,1097479.2881015365
2022-10-17,1101028.6874965827
2022-10-18,1102034.4709994867
2022-10-19,1097464.5060148358
2022-10-20,1094780.7136598856
2022-10-21,1097241.0139083876
2022-10-24,1079349.5040067045
2022-10-25,1076184.1181339317
2022-10-26,1072555.3003655158
2022-10-27,1076449.7120044187
2022-10-28,1063410.4430608812
2022-10-31,1054481.0241002094
2022-11-01,1068407.8288944191
2022-11-02,1073410.689702281
2022-11-03,1065361.9451382242
2022-11-04,1081316.911627973
2022-11-07,1080803.0026333795
2022-11-08,1079490.983291801
2022-11-09,1076979.7088412205
2022-11-10,1077084.9209943714
2022-11-11,1089275.6263680605
2022-11-14,1090081.1047054883
2022-11-15,1096379.5662297448
2022-11-16,1093609.4698833942
2022-11-17,1094030.6292356134
2022-11-18,1091798.4912969708
2022-11-21,1089822.8958260883
2022-11-22,1106949.9118687105
2022-11-23,1113237.208768065
2022-11-24,1109543.3610177445
2022-11-25,1128449.311742284
2022-11-28,1119484.5148761359
2022-11-29,1134679.7391887526
2022-11-30,1140131.2582795287
2022-12-01,1137361.6286989609
2022-12-02,1135330.4343373775
2022-12-05,1163434.408320709
2022-12-06,1163727.4464520393
2022-12-07,1156660.7752022813
2022-12-08,1152529.935834991
2022-12-09,1148150.764516528
2022-12-12,1140535.7228441508
2022-12-13,1142458.0365131923
2022-12-14,1138654.0630076067
2022-12-15,1129314.1370694735
2022-12-16,1136232.189870826
2022-12-19,1111490.8341026516
2022-12-20,1101467.256352546
2022-12-21,1102739.8048314382
2022-12-22,1098668.3012463688
2022-12-23,1099620.8223914404
2022-12-26,1101071.3943665314
2022-12-27,1111576.2612382548
2022-12-28,1114276.3700216084
2022-12-29,1110676.4042163054
2022-12-30,1120136.1245668875
2023-01-03,1124374.8409140857
2023-01-04,1127708.0540584656
2023-01-05,1137350.3364605126
2023-01-06,1135860.6031373383
2023-01-09,1144811.8014185452
2023-01-10,1144498.2145451177
2023-01-11,1138766.7802452748
2023-01-12,1138453.1889471184
2023-01-13,1149573.744660324
2023-01-16,1157545.160137912
2023-01-17,1158387.7457747802
2023-01-18,1163433.008608026
2023-01-19,1174363.7406663452
2023-01-20,1180201.2294314762
2023-01-30,1184080.4982049677
2023-01-31,1176381.542817512
2023-02-01,1189837.2199909226
2023-02-02,1188506.0890399027
2023-02-03,1177047.968870106
2023-02-06,1168048.7859320391
2023-02-07,1172286.7285051004
2023-02-08,1167235.0295443356
2023-02-09,1177929.3246726103
2023-02-10,1179196.7776163993
2023-02-13,1196747.9736424887
2023-02-14,1202740.6752769968
2023-02-15,1195625.403570279
2023-02-16,1182000.0775782056
2023-02-17,1179587.3249270946
2023-02-20,1222514.9789613853
2023-02-21,1230460.1368472893
2023-02-22,1224072.9833393875
2023-02-23,1219560.9320178574
2023-02-24,1209519.6252058386
2023-02-27,1201516.0734000837
2023-02-28,1208250.2933313583
2023-03-01,1226654.196647689
2023-03-02,1229578.47312236
2023-03-03,1236287.8702817755
2023-03-06,1227954.6100793344
2023-03-07,1214249.5472987047
2023-03-08,1213410.652874125
2023-03-09,1209743.9252572944
2023-03-10,1192204.81292269
2023-03-13,1207738.1543444206
2023-03-14,1197571.1456367145
2023-03-15,1203194.960422589
2023-03-16,1200172.6328591667
2023-03-17,1199891.4416517117
2023-03-20,1193693.4254759671
2023-03-21,1202157.0212087077
2023-03-22,1204478.0744906412
2023-03-23,1207974.5969403833
2023-03-24,1207963.93685927
2023-03-27,1202198.9196187533
2023-03-28,1208960.1997320459
2023-03-29,1206063.7154201616
2023-03-30,1217624.3850450874
2023-03-31,1222755.534473589
2023-04-03,1226724.1356586039
2023-04-04,1232991.9221685012
2023-04-06,1236253.269329471
2023-04-07,1236921.684829787
2023-04-10,1226171.844958193
2023-04-11,1226607.0795751608
2023-04-12,1234825.5533484532
2023-04-13,1224759.754994956
2023-04-14,1232838.2590889984
2023-04-17,1250304.7104698091
2023-04-18,1265426.787549539
2023-04-19,1268325.286966802
2023-04-20,1285486.455499926
2023-04-21,1257111.1363783546
2023-04-24,1251736.8614611565
2023-04-25,1255965.3044028562
2023-04-26,1243810.9260540183
2023-04-27,1242720.8007775533
2023-04-28,1260224.544059168
2023-05-04,1266699.71486407
2023-05-05,1269999.6088316964
2023-05-08,1314258.748156695
2023-05-09,1296494.4580448857
2023-05-10,1263712.8098440315
2023-05-11,1258489.075817216
2023-05-12,1252010.763234946
2023-05-15,1258574.6996041713
2023-05-16,1256984.9006110101
2023-05-17,1259046.686662621
2023-05-18,1274064.0108551192
2023-05-19,1253830.9793027649
2023-05-22,1254935.2419137587
2023-05-23,1237944.9902028097
2023-05-24,1216438.5741876522
2023-05-25,1223956.0681449538
2023-05-26,1231683.4517719399
2023-05-29,1251571.3477061046
2023-05-30,1251729.0482804484
2023-05-31,1248262.9492921298
2023-06-01,1235980.142429358
2023-06-02,1240259.230711069
2023-06-05,1241406.7947708894
2023-06-06,1227517.3659395226
2023-06-07,1225529.554554829
2023-06-08,1230644.4785413248
2023-06-09,1246913.5424282053
2023-06-12,1236848.180103112
2023-06-13,1240342.846499022
2023-06-14,1237403.2950960358
2023-06-15,1236518.5837595358
2023-06-16,1239120.5362104692
2023-06-19,1238206.6850139713
2023-06-20,1231683.6699106384
2023-06-21,1218421.7578118292
2023-06-26,1210619.962981311
2023-06-27,1221955.2162511768
2023-06-28,1225874.2748113181
2023-06-29,1229647.5068158088
2023-06-30,1235764.5628148497
2023-07-03,1243001.8944747255
2023-07-04,1236132.1339620785
2023-07-05,1229139.835487575
2023-07-06,1224868.0395825896
2023-07-07,1232067.8126981137
2023-07-10,1231158.9733890118
2023-07-11,1236205.670059322
2023-07-12,1231880.5006290164
2023-07-13,1246188.1894021742
2023-07-14,1250278.5136000358
2023-07-17,1249430.8543705826
2023-07-18,1246788.361924868
2023-07-19,1250131.7844920696
2023-07-20,1237052.1637702761
2023-07-21,1236344.9587678663
2023-07-24,1240508.486063607
2023-07-25,1254094.2408250084
2023-07-26,1249351.5611674362
2023-07-27,1251202.9612023456
2023-07-28,1270024.4273229467
2023-07-31,1275906.539837341
2023-08-01,1277478.5925911232
2023-08-02,1270224.654085863
2023-08-03,1276264.4162907517
2023-08-04,1270797.081578454
2023-08-07,1265016.8938897103
2023-08-08,1264631.981306995
2023-08-09,1259026.483569256
2023-08-10,1264461.9912863707
2023-08-11,1240449.846798866
2023-08-14,1236229.2966449992
2023-08-15,1240545.3645875219
2023-08-16,1233783.7768634565
2023-08-17,1238629.4995090899
2023-08-18,1230663.8730881254
2023-08-21,1218211.65804574
2023-08-22,1228124.7435483115
2023-08-23,1214213.6881241463
2023-08-24,1215260.581323304
2023-08-25,1213104.9744143384
2023-08-28,1222005.6477071967
2023-08-29,1232675.338044119
2023-08-30,1241547.3266004708
2023-08-31,1237449.144780302
2023-09-01,1245517.0380882774
2023-09-04,1255416.3697039008
2023-09-05,1250415.1478163241
2023-09-06,1244047.3737156463
2023-09-07,1236070.1371666654
2023-09-08,1233924.006836355
2023-09-11,1247210.672480468
