,equity
2021-06-29,1072782.0048672806
2021-06-30,1075089.6975433328
2021-07-01,1070518.8151642885
2021-07-02,1076954.090865861
2021-07-05,1078372.440701146
2021-07-06,1081630.4826976222
2021-07-07,1079700.5385961037
2021-07-08,1091750.3908704324
2021-07-09,1086182.065013682
2021-07-12,1080801.4665339855
2021-07-13,1080132.8659988812
2021-07-14,1074500.817702841
2021-07-15,1082449.4073564608
2021-07-16,1086390.1005683292
2021-07-19,1089950.563963268
2021-07-20,1090587.6303906268
2021-07-21,1095407.155646984
2021-07-22,1101662.4539954413
2021-07-23,1105154.8462891125
2021-07-26,1105178.518421793
2021-07-27,1104265.822230205
2021-07-28,1106381.4835970835
2021-07-29,1103170.2206081739
2021-07-30,1102529.4896626973
2021-08-02,1104303.12242588
2021-08-03,1109398.605709512
2021-08-04,1106005.4702415897
2021-08-05,1092466.0408584028
2021-08-06,1083783.4024915379
2021-08-09,1088794.6932543688
2021-08-10,1091278.1962243884
2021-08-11,1099232.353534023
2021-08-12,1106399.8242322956
2021-08-13,1110643.681296137
2021-08-16,1108240.2209836678
2021-08-17,1107815.0101126991
2021-08-18,1120039.0999811883
2021-08-19,1115493.0502854073
2021-08-20,1104132.9155346872
2021-08-23,1109589.029413752
2021-08-24,1105154.9351720617
2021-08-25,1105412.9715205594
2021-08-26,1108548.8743448837
2021-08-27,1112241.777185507
2021-08-30,1110417.0241712998
2021-08-31,1115287.8219924143
2021-09-01,1120502.6887484267
2021-09-02,1126028.7582320569
2021-09-03,1130165.010684517
2021-09-06,1130341.7711156104
2021-09-07,1131517.2732190394
2021-09-08,1131038.9972194326
2021-09-09,1140302.490729856
2021-09-10,1136761.1271537654
2021-09-13,1135084.4115107476
2021-09-14,1123665.2519539827
2021-09-15,1115142.743969096
2021-09-16,1111853.123397547
2021-09-17,1111276.3544890773
2021-09-20,1109691.8329036513
2021-09-21,1112562.8741654202
2021-09-22,1104061.097414229
2021-09-23,1102721.9498900445
2021-09-24,1109246.5219822393
2021-09-27,1100848.9356167247
2021-09-28,1113616.3491033125
2021-09-29,1109968.6310053456
2021-09-30,1110483.7739323347
2021-10-01,1116267.0492047295
2021-10-04,1108817.7290440616
2021-10-05,1113649.9272568088
2021-10-06,1112979.625232626
2021-10-07,1112440.326419419
2021-10-08,1116610.0873550219
2021-10-11,1121334.2305024043
2021-10-12,1121366.355052678
2021-10-13,1123499.5575475534
2021-10-14,1123628.928630828
2021-10-15,1129826.8957382478
2021-10-18,1133984.667627802
2021-10-19,1133615.5489162577
2021-10-20,1125642.532761977
2021-10-21,1125149.1373129422
2021-10-22,1131507.3379653576
2021-10-25,1135546.1471057513
2021-10-26,1141010.4996610503
2021-10-27,1145398.5196488434
2021-10-28,1146479.7755968086
2021-10-29,1151844.5416184582
2021-11-01,1151317.61454711
2021-11-02,1142682.4865590876
2021-11-03,1140795.5134856172
2021-11-04,1134809.856396534
2021-11-05,1133619.708823561
2021-11-08,1130608.1535579024
2021-11-09,1129917.532469969
2021-11-10,1126496.5481918368
2021-11-11,1130790.2505030646
2021-11-12,1131241.479381423
2021-11-15,1128239.9834274654
2021-11-16,1131590.4593173221
2021-11-17,1130599.1739803024
2021-11-18,1132208.782650527
2021-11-19,1130975.6580003907
2021-11-22,1128479.6353211028
2021-11-23,1122939.0701899272
2021-11-24,1117993.457593207
2021-11-25,1111710.1884678942
2021-11-26,1109665.587358671
2021-11-29,1110000.0624180434
2021-11-30,1120149.753194749
2021-12-01,1120838.0367540936
2021-12-02,1125888.0206616288
2021-12-03,1123458.2848655707
2021-12-06,1122977.813306802
2021-12-07,1125490.6484562075
2021-12-08,1121912.25490604
2021-12-09,1124399.590407232
2021-12-10,1117484.5623968304
2021-12-13,1124076.0490826892
2021-12-14,1134717.279518345
2021-12-15,1145346.3291167733
2021-12-16,1150136.4075339676
2021-12-17,1153632.0496766863
2021-12-20,1148544.864531018
2021-12-21,1156977.1592401334
2021-12-22,1151018.395271268
2021-12-23,1154342.3646011497
2021-12-24,1148116.586755376
2021-12-27,1145916.33676377
2021-12-28,1155537.637436913
2021-12-29,1153124.1408271876
2021-12-30,1151141.8456625182
2021-12-31,1152079.5865319457
2022-01-03,1155263.7433591657
2022-01-04,1151612.6240111506
2022-01-05,1161521.3262238798
2022-01-06,1162853.4484842962
2022-01-07,1164122.6694301576
2022-01-10,1160562.3887835555
2022-01-11,1160628.799859073
2022-01-12,1162999.51832559
2022-01-13,1180743.6020299343
2022-01-14,1178476.206914164
2022-01-17,1180702.8386231621
2022-01-18,1180751.3667657094
2022-01-19,1184728.367141364
2022-01-20,1176723.0701801847
2022-01-21,1181050.4123855352
2022-01-24,1183244.1612187126
2022-01-25,1181060.2570801452
2022-01-26,1178863.4258296087
2022-01-27,1179824.4768519166
2022-01-28,1176526.009987734
2022-01-31,1177812.1291074094
2022-02-01,1179310.7743934172
2022-02-02,1168057.9895714934
2022-02-03,1170035.3486721348
2022-02-04,1163862.1407602339
2022-02-07,1166612.951563273
2022-02-08,1160739.3181527185
2022-02-09,1160477.051092668
2022-02-10,1158023.9585481759
2022-02-11,1159664.0901623126
2022-02-14,1152726.9402084537
2022-02-15,1152572.3092892778
2022-02-16,1145014.4968027386
2022-02-17,1132545.555626023
2022-02-18,1143635.893623815
2022-02-21,1145206.7703608987
2022-02-22,1147715.866205519
2022-02-23,1148854.5791518947
2022-02-24,1152510.0437436658
2022-02-25,1150199.3744270513
2022-02-28,1155131.8999844566
2022-03-01,1160243.579887064
2022-03-02,1166055.13710989
2022-03-03,1162548.0761537799
2022-03-04,1163919.0940033745
2022-03-07,1167671.4886534554
2022-03-08,1168036.542871805
2022-03-09,1175492.6009521917
2022-03-10,1178397.0767806885
2022-03-11,1181065.0280356829
2022-03-14,1175496.6422818368
2022-03-15,1180088.4220639414
2022-03-16,1189819.2496269376
2022-03-17,1192129.6794359335
2022-03-18,1196880.111541581
2022-03-21,1205909.8936034995
2022-03-22,1198773.9016730716
2022-03-23,1200282.7966499135
2022-03-24,1200918.1226980386
2022-03-25,1203983.9053895168
2022-03-28,1212691.2017825295
2022-03-29,1215767.2985242063
2022-03-30,1206106.1004502864
2022-03-31,1208000.1769854408
2022-04-01,1209354.4415579967
2022-04-04,1214672.811322479
2022-04-05,1216830.6729355291
2022-04-06,1214328.2181451865
2022-04-07,1222475.6372909732
2022-04-08,1223732.2417364644
2022-04-11,1225775.1238415309
2022-04-12,1235125.3481423918
2022-04-13,1231224.767787128
2022-04-14,1230941.2127876366
2022-04-15,1236007.1797724196
2022-04-18,1231941.7223007374
2022-04-19,1231827.8883078313
2022-04-20,1244625.5779828748
2022-04-21,1242371.689802261
2022-04-22,1231866.5482812086
2022-04-25,1241116.3580295572
2022-04-26,1238477.9139797548
2022-04-27,1237078.1191018969
2022-04-28,1245255.8818651014
2022-04-29,1246115.1882756199
2022-05-02,1248483.1006371982
2022-05-03,1249766.3420496592
2022-05-04,1246485.114325008
2022-05-05,1241310.735897945
2022-05-06,1242090.137512702
2022-05-09,1253101.9098284238
2022-05-10,1259566.2288385225
2022-05-11,1260945.658638048
2022-05-12,1262854.197716875
2022-05-13,1261742.689978283
2022-05-16,1257923.008174362
2022-05-17,1268602.5513745628
2022-05-18,1274733.3729331933
2022-05-19,1275113.2672171064
2022-05-20,1276271.5346945652
2022-05-23,1275452.4549221063
2022-05-24,1270582.8916634035
2022-05-25,1271373.194761184
2022-05-26,1276112.9656279937
2022-05-27,1278372.7798814764
2022-05-30,1280705.0846849564
2022-05-31,1282116.8152337074
2022-06-01,1278044.3966197094
2022-06-02,1278207.4698107925
2022-06-03,1275636.443649431
2022-06-06,1282405.8439281597
2022-06-07,1284265.7484378524
2022-06-08,1295934.6104405697
2022-06-09,1305729.5232265117
2022-06-10,1297011.953440247
2022-06-13,1302251.698128594
2022-06-14,1306754.0685827518
2022-06-15,1316340.3621891122
2022-06-16,1317597.4056409523
2022-06-17,1315725.6809530074
2022-06-20,1322061.1367653366
2022-06-21,1319395.9604475643
2022-06-22,1326402.834468679
2022-06-23,1326199.3602511885
2022-06-24,1331993.44201228
2022-06-27,1338008.0879385355
2022-06-28,1336255.8260245686
2022-06-29,1345216.5982283829
2022-06-30,1342125.6655467774
2022-07-01,1345467.8754953416
2022-07-04,1355331.7788099512
2022-07-05,1352375.2027537797
2022-07-06,1346646.640810514
2022-07-07,1341455.3240608233
2022-07-08,1342149.829732386
2022-07-11,1353196.176949582
2022-07-12,1352823.2105145096
2022-07-13,1353792.082588497
2022-07-14,1357390.0331523607
2022-07-15,1366964.7858285455
2022-07-18,1365476.708538612
2022-07-19,1367384.4745558682
2022-07-20,1378399.0378968713
2022-07-21,1375036.0211021816
2022-07-22,1383443.691001486
2022-07-25,1383336.721881264
2022-07-26,1385643.1416617134
2022-07-27,1394728.0786869547
2022-07-28,1401871.9578845787
2022-07-29,1400047.3698544048
2022-08-01,1399110.0766730027
2022-08-02,1397974.2052371195
2022-08-03,1398934.73084028
2022-08-04,1401125.6100732617
2022-08-05,1400960.7340498723
2022-08-08,1406939.8297703487
2022-08-09,1414710.3556302257
2022-08-10,1420570.163901131
2022-08-11,1425918.845475278
2022-08-12,1426262.8054409057
2022-08-15,1428287.1021739112
2022-08-16,1440518.403213274
2022-08-17,1446943.8011564896
2022-08-18,1441141.8232195028
2022-08-19,1433570.7481980913
2022-08-22,1435957.6241706281
2022-08-23,1443457.261181158
2022-08-24,1436723.2892088648
2022-08-25,1433968.6487009558
2022-08-26,1426502.9982797983
2022-08-29,1428080.9696004612
2022-08-30,1429407.7961734803
2022-08-31,1427855.6368800562
2022-09-01,1438672.8910421347
2022-09-02,1434807.6580243644
2022-09-05,1426080.9621100712
2022-09-06,1416496.2873122927
2022-09-07,1417763.8429912382
2022-09-08,1429889.0699532728
2022-09-09,1435110.5148760483
2022-09-12,1437491.255772735
2022-09-13,1433075.5869016128
2022-09-14,1435595.787400413
2022-09-15,1435485.0107034375
2022-09-16,1440486.950602273
2022-09-19,1442880.3953991719
2022-09-20,1443900.358028047
2022-09-21,1452983.3695047405
2022-09-22,1448054.6496983762
2022-09-23,1450039.0412721098
2022-09-26,1455665.4008185235
2022-09-27,1458225.5789575344
2022-09-28,1448933.6024882789
2022-09-29,1445730.712996246
2022-09-30,1450176.173837963
2022-10-03,1454314.6046618673
2022-10-04,1461951.8545818632
2022-10-05,1471272.4341197475
2022-10-06,1464618.5884176309
2022-10-07,1461040.094834362
2022-10-10,1458662.5146684994
2022-10-11,1461498.7689352816
2022-10-12,1477269.44463401
2022-10-13,1486575.097480998
2022-10-14,1496573.912290353
2022-10-17,1491479.6356156217
2022-10-18,1495751.9914417998
2022-10-19,1495062.9178729148
2022-10-20,1493391.209267376
2022-10-21,1486196.5553287484
2022-10-24,1478674.985953703
2022-10-25,1484402.2706227966
2022-10-26,1484878.9849376383
2022-10-27,1479526.3699418781
2022-10-28,1485721.443011593
2022-10-31,1483670.7660990523
2022-11-01,1477096.0697155243
2022-11-02,1478303.572443695
2022-11-03,1473674.3774039026
2022-11-04,1482214.49024902
2022-11-07,1487036.1335806677
2022-11-08,1489519.3593858164
2022-11-09,1488165.014773388
2022-11-10,1490935.9772509965
2022-11-11,1482978.7632037287
2022-11-14,1495680.074291094
2022-11-15,1493124.9430131002
2022-11-16,1505783.095057771
2022-11-17,1499250.5334050516
2022-11-18,1499958.5895354927
2022-11-21,1503469.987851044
2022-11-22,1515943.2468070574
2022-11-23,1513007.3602369279
2022-11-24,1513794.5321588975
2022-11-25,1508522.3049439962
2022-11-28,1520781.061263739
2022-11-29,1532057.4140022686
2022-11-30,1525893.9288373406
2022-12-01,1531086.9048800513
2022-12-02,1533566.5706511645
2022-12-05,1526857.5587633569
2022-12-06,1529169.3907945422
2022-12-07,1525183.3630732116
2022-12-08,1532829.231783089
2022-12-09,1541494.2810981572
2022-12-12,1543492.529193161
2022-12-13,1543750.4101445028
2022-12-14,1550788.8854025896
2022-12-15,1554250.4211348775
2022-12-16,1564605.5000922792
2022-12-19,1565337.6035383113
2022-12-20,1556265.815587037
2022-12-21,1564749.1124843787
2022-12-22,1559771.9211671338
2022-12-23,1555453.185859736
2022-12-26,1565296.828808223
2022-12-27,1566045.3680060278
2022-12-28,1556485.697204058
2022-12-29,1555330.3159233942
2022-12-30,1558479.3022560622
2023-01-02,1557592.8348119066
2023-01-03,1572290.333279378
2023-01-04,1556141.6352003743
2023-01-05,1554886.6918956044
2023-01-06,1559232.1098223114
2023-01-09,1561884.978032223
2023-01-10,1557001.4264792192
2023-01-11,1558885.7568268685
2023-01-12,1558660.0574888934
2023-01-13,1558777.2202856715
2023-01-16,1565080.6210106749
2023-01-17,1558166.277541867
2023-01-18,1555047.496121313
2023-01-19,1562456.928951765
2023-01-20,1571184.556460138
2023-01-23,1564152.5203203228
2023-01-24,1565745.4004927038
2023-01-25,1557551.9732359964
2023-01-26,1555278.4249336137
2023-01-27,1555605.9555632037
