,equity
2021-06-04,1076020.9075029772
2021-06-07,1076140.141476821
2021-06-08,1076851.4252428326
2021-06-09,1075327.6444568473
2021-06-10,1075706.2729820297
2021-06-11,1075562.8049792673
2021-06-15,1067933.8159383577
2021-06-16,1068337.5535797449
2021-06-17,1069028.7433844472
2021-06-18,1065714.7404327304
2021-06-21,1066437.296158733
2021-06-22,1072034.6730808278
2021-06-23,1075251.534823145
2021-06-24,1078355.743650657
2021-06-25,1083803.2386620338
2021-06-28,1083582.6857936867
2021-06-29,1073655.7647906041
2021-06-30,1075392.4906857118
2021-07-01,1078611.3826178364
2021-07-02,1069965.6922741605
2021-07-05,1064458.7978515818
2021-07-06,1070872.8678903498
2021-07-07,1074519.4087041286
2021-07-08,1066837.5715573628
2021-07-09,1069350.6252926446
2021-07-12,1066537.200300073
2021-07-13,1069768.3626728838
2021-07-14,1061012.4192152105
2021-07-15,1061457.9691467986
2021-07-16,1063338.319738059
2021-07-19,1062614.159321854
2021-07-20,1060533.8507333072
2021-07-21,1056381.7697013007
2021-07-22,1061283.3900748019
2021-07-23,1057224.7551766345
2021-07-26,1041589.7072859718
2021-07-27,1031987.3065169179
2021-07-28,1025842.325641302
2021-07-29,1022604.8699727696
2021-07-30,1017519.2051879301
2021-08-02,1031612.7127377194
2021-08-03,1033224.3223669969
2021-08-04,1029951.0510873096
2021-08-05,1028925.6591533095
2021-08-06,1025116.1016809586
2021-08-09,1035733.8046760152
2021-08-10,1039208.61643731
2021-08-11,1044934.939658225
2021-08-12,1043977.612911764
2021-08-13,1041418.2432720816
2021-08-16,1048044.0922875606
2021-08-17,1044295.8275188904
2021-08-18,1055751.9735546664
2021-08-19,1051772.7292367816
2021-08-20,1046736.0411941331
2021-08-23,1053314.1786720657
2021-08-24,1061547.545779825
2021-08-25,1069960.0521759596
2021-08-26,1066879.112662311
2021-08-27,1066845.8991935027
2021-08-30,1071688.120804613
2021-08-31,1079621.7626147387
2021-09-01,1097394.8424690473
2021-09-02,1101770.0506272977
2021-09-03,1109872.7376023976
2021-09-06,1121548.8060623277
2021-09-07,1128843.9974817443
2021-09-08,1146499.3214473561
2021-09-09,1147841.9172066168
2021-09-10,1142092.7199684854
2021-09-13,1144343.0012493893
2021-09-14,1127130.0362725942
2021-09-15,1119216.5574308478
2021-09-16,1114590.444734787
2021-09-17,1116345.4961594397
2021-09-22,1112438.2168844496
2021-09-23,1122391.422410771
2021-09-24,1114313.5176088074
2021-09-27,1109416.1014661351
2021-09-28,1115303.0065600974
2021-09-29,1105120.1079220744
2021-09-30,1110142.042812145
2021-10-08,1127400.4237348568
2021-10-11,1135375.804041334
2021-10-12,1122029.690209786
2021-10-13,1119641.9494826254
2021-10-14,1117649.896663358
2021-10-15,1113609.1610847842
2021-10-18,1109396.1614149648
2021-10-19,1112317.0983674042
2021-10-20,1107462.5363099102
2021-10-21,1106913.3013369145
2021-10-22,1106509.6157388599
2021-10-25,1106106.1189608271
2021-10-26,1110775.1192539441
2021-10-27,1090008.9539618671
2021-10-28,1080055.7723434148
2021-10-29,1092426.9901442304
2021-11-01,1107349.6340240794
2021-11-02,1100995.0502493011
2021-11-03,1100221.6990703894
2021-11-04,1103792.8739153657
2021-11-05,1100963.296795323
2021-11-08,1101032.9507006626
2021-11-09,1103765.5772796858
2021-11-10,1103213.1503402102
2021-11-11,1116534.9614328681
2021-11-12,1116122.8614631381
2021-11-15,1121054.9309621255
2021-11-16,1118468.4185610588
2021-11-17,1119119.5978614697
2021-11-18,1113923.130550826
2021-11-19,1121303.0126211226
2021-11-22,1118142.6864302591
2021-11-23,1127886.2315749852
2021-11-24,1128959.6058810838
2021-11-25,1127522.1667503668
2021-11-26,1119769.8643259283
2021-11-29,1114773.714458452
2021-11-30,1115509.0401209523
2021-12-01,1124769.3919426377
2021-12-02,1127573.7927739094
2021-12-03,1138263.71137906
2021-12-06,1134395.7371825946
2021-12-07,1142012.0626316017
2021-12-08,1143072.5032693841
2021-12-09,1153285.6520207396
2021-12-10,1146218.0507077165
2021-12-13,1143506.9934082725
2021-12-14,1136192.4111632237
2021-12-15,1133109.7892803627
2021-12-16,1139229.5236285038
2021-12-17,1137053.623127779
2021-12-20,1133213.8381421138
2021-12-21,1142540.145235803
2021-12-22,1140312.3862390993
2021-12-23,1140581.6054062417
2021-12-24,1138016.3714953435
2021-12-27,1142643.8568218597
2021-12-28,1149428.9201436534
2021-12-29,1149734.6749806767
2021-12-30,1150883.4215125707
2021-12-31,1154408.7744738013
2022-01-04,1164697.9126735337
2022-01-05,1169176.833835619
2022-01-06,1164585.206932855
2022-01-07,1175743.4379269972
2022-01-10,1176940.1681906357
2022-01-11,1178640.1125519346
2022-01-12,1182637.4479447585
2022-01-13,1179002.2720413886
2022-01-14,1157352.8344593185
2022-01-17,1156342.7442183122
2022-01-18,1166480.908168912
2022-01-19,1166755.0827809465
2022-01-20,1172940.6828254433
2022-01-21,1164145.9655388044
2022-01-24,1153877.6990183287
2022-01-25,1126779.584632553
2022-01-26,1132755.1444162424
2022-01-27,1113943.1135806246
2022-01-28,1117226.6795717399
2022-02-07,1137479.6153660456
2022-02-08,1156146.987056495
2022-02-09,1163295.6441291969
2022-02-10,1165866.0869678135
2022-02-11,1159135.141469136
2022-02-14,1143908.2948143187
2022-02-15,1148180.132022988
2022-02-16,1153472.401133115
2022-02-17,1147591.4911379535
2022-02-18,1154741.5555763892
2022-02-21,1160195.676169104
2022-02-22,1151011.0918155038
2022-02-23,1158709.649938652
2022-02-24,1136189.273380029
2022-02-25,1145453.8705617713
2022-02-28,1144735.483335676
2022-03-01,1148545.5402880667
2022-03-02,1149192.9624062094
2022-03-03,1154415.905109726
2022-03-04,1145453.0382252645
2022-03-07,1126357.882143395
2022-03-08,1099378.705153373
2022-03-09,1072298.4395430344
2022-03-10,1077868.687001602
2022-03-11,1093713.1550483801
2022-03-14,1075625.5954242474
2022-03-15,1026082.753122837
2022-03-16,1055980.2022328004
2022-03-17,1062654.0094101569
2022-03-18,1073746.283804796
2022-03-21,1067061.643299955
2022-03-22,1072799.0755712634
2022-03-23,1073544.2181353474
2022-03-24,1065678.375737939
2022-03-25,1060789.6751494482
2022-03-28,1061620.779675985
2022-03-29,1052825.7393955756
2022-03-30,1071574.6899088952
2022-03-31,1070196.1152233914
2022-04-01,1081970.4497297914
2022-04-06,1088943.4603243717
2022-04-07,1071890.8204319337
2022-04-08,1072623.0365565468
2022-04-11,1044411.7074902205
2022-04-12,1064299.4184268417
2022-04-13,1052000.3465796213
2022-04-14,1064484.5238069887
2022-04-15,1063791.6720308769
2022-04-18,1069503.719191602
2022-04-19,1070567.9739458796
2022-04-20,1061475.4397821089
2022-04-21,1042318.1297172329
2022-04-22,1049067.0834639461
2022-04-25,999911.2072641873
2022-04-26,976654.232614871
2022-04-27,1005502.338572609
2022-04-28,996384.2423761084
2022-04-29,1027785.2744563657
2022-05-05,1038113.0653492257
2022-05-06,1022221.5104447776
2022-05-09,1027134.4445726597
2022-05-10,1033280.4956840281
2022-05-11,1041341.3446255658
2022-05-12,1041052.6696849945
2022-05-13,1050872.9892987388
2022-05-16,1045085.8130666256
2022-05-17,1046525.1594737527
2022-05-18,1043642.457810568
2022-05-19,1042717.4467134164
2022-05-20,1053390.4582158597
2022-05-23,1053177.2695117306
2022-05-24,1035882.5846323495
2022-05-25,1044807.6823574
2022-05-26,1055520.3081334818
2022-05-27,1058477.858817435
2022-05-30,1057093.213708488
2022-05-31,1065125.3373017123
2022-06-01,1065284.2283572508
2022-06-02,1068099.786978207
2022-06-06,1069130.4847550674
2022-06-07,1069979.9190591015
2022-06-08,1076235.2954200192
2022-06-09,1076568.3525336976
2022-06-10,1086574.2758681378
2022-06-13,1075974.6016045702
2022-06-14,1092219.0118090643
2022-06-15,1109289.6604915187
2022-06-16,1095721.8874176343
2022-06-17,1097501.3146129139
2022-06-20,1097300.6644908104
2022-06-21,1098572.7596669842
2022-06-22,1086715.9956210419
2022-06-23,1094273.6040704937
2022-06-24,1096911.73319173
2022-06-27,1099413.0330466742
2022-06-28,1107631.5738142978
2022-06-29,1103812.4743120745
2022-06-30,1103619.568288044
2022-07-01,1105315.2226945339
2022-07-04,1108355.6958013591
2022-07-05,1105634.7226352892
2022-07-06,1097662.9595331713
2022-07-07,1095210.9807482513
2022-07-08,1099543.8528669507
2022-07-11,1096871.7929608608
2022-07-12,1095103.6222307384
2022-07-13,1097420.1841987367
2022-07-14,1091806.37839163
2022-07-15,1074711.0163474497
2022-07-18,1090677.7873145356
2022-07-19,1097497.5862067281
2022-07-20,1102366.367000562
2022-07-21,1096531.2226632016
2022-07-22,1096618.429289887
2022-07-25,1094444.1573910634
2022-07-26,1099205.4276863823
2022-07-27,1096068.9324907172
2022-07-28,1100203.4104235773
2022-07-29,1090959.3730227815
2022-08-01,1090215.6272098362
2022-08-02,1067481.588571397
2022-08-03,1062028.6937966174
2022-08-04,1070846.5005834396
2022-08-05,1086512.008312507
2022-08-08,1085152.546915097
2022-08-09,1086263.7699019145
2022-08-10,1082674.173857352
2022-08-11,1103626.8971616917
2022-08-12,1113783.2111647464
2022-08-15,1106282.6170365228
2022-08-16,1106244.8440336816
2022-08-17,1114807.5584602945
2022-08-18,1106404.9898631927
2022-08-19,1112517.3372160357
2022-08-22,1115140.7254628008
2022-08-23,1109892.0324671667
2022-08-24,1101594.259255991
2022-08-25,1109483.100023805
2022-08-26,1109386.4716887947
2022-08-29,1110692.9125813378
2022-08-30,1115303.0590501258
2022-08-31,1117145.2023963633
2022-09-01,1113126.5841437292
2022-09-02,1118419.1145652025
2022-09-05,1121046.844755417
2022-09-06,1126862.0012750826
2022-09-07,1125826.650932432
2022-09-08,1128464.308981346
2022-09-09,1135512.1348312697
2022-09-13,1139125.874495893
2022-09-14,1127410.475486618
2022-09-15,1121221.5605871626
2022-09-16,1096360.3011680155
2022-09-19,1089005.339823865
2022-09-20,1089003.4200293901
2022-09-21,1088955.069431636
2022-09-22,1081117.1703235442
2022-09-23,1074168.9512803007
2022-09-26,1055675.8983953847
2022-09-27,1077872.490055748
2022-09-28,1059996.8464190364
2022-09-29,1051813.2719966732
2022-09-30,1050751.232037734
2022-10-10,1029746.6525242818
2022-10-11,1032891.2689274219
2022-10-12,1053333.5247081665
2022-10-13,1055686.7609224478
2022-10-14,1069726.923674139
2022-10-17,1075145.275230449
2022-10-18,1069964.0057466272
2022-10-19,1061781.954004116
2022-10-20,1059745.3602544686
2022-10-21,1060841.3450511906
2022-10-24,1044676.6573907749
2022-10-25,1045442.9880955712
2022-10-26,1051015.4208960913
2022-10-27,1055788.0587324067
2022-10-28,1033806.2024904331
2022-10-31,1027281.4469400201
2022-11-01,1044137.0235461886
2022-11-02,1048208.5143558218
2022-11-03,1045840.3897035444
2022-11-04,1064625.8958961905
2022-11-07,1064623.9407075455
2022-11-08,1062319.4296723115
2022-11-09,1060586.6196101082
2022-11-10,1061171.8649061334
2022-11-11,1080191.7385116841
2022-11-14,1083380.8201736081
2022-11-15,1091646.1471991325
2022-11-16,1089438.8836699063
2022-11-17,1088598.1089422232
2022-11-18,1084471.7245194009
2022-11-21,1080857.350157927
2022-11-22,1095816.529170665
2022-11-23,1103891.7893798568
2022-11-24,1098366.1931496097
2022-11-25,1113584.037797438
2022-11-28,1103610.3638312737
2022-11-29,1118669.035613374
2022-11-30,1117394.2585853322
2022-12-01,1119733.469685188
2022-12-02,1114106.7812365412
2022-12-05,1133824.0099841652
2022-12-06,1136598.846620054
2022-12-07,1134639.0620563538
2022-12-08,1132294.4508845482
2022-12-09,1125833.989181106
2022-12-12,1118431.2056709973
2022-12-13,1118085.4931805022
2022-12-14,1117440.9366809055
2022-12-15,1112277.1819066077
2022-12-16,1112392.604319828
2022-12-19,1088359.9760088106
2022-12-20,1084620.6413843855
2022-12-21,1078690.2584053078
2022-12-22,1072051.0563460065
2022-12-23,1069898.621534589
2022-12-26,1080945.5089468332
2022-12-27,1090971.4161977342
2022-12-28,1089887.7446562252
2022-12-29,1088921.9994776254
2022-12-30,1095842.4604313942
2023-01-03,1106640.1320934421
2023-01-04,1106763.7059807575
2023-01-05,1115076.3813174681
2023-01-06,1117732.6308494066
2023-01-09,1120590.6059006224
2023-01-10,1113830.2533869925
2023-01-11,1110072.336467606
2023-01-12,1110024.1398769394
2023-01-13,1121358.9875012336
2023-01-16,1134792.8804716193
2023-01-17,1140882.5745594907
2023-01-18,1143555.7175066925
2023-01-19,1151689.4820020115
2023-01-20,1157256.4690581588
2023-01-30,1159402.0819483048
2023-01-31,1158140.3660477365
2023-02-01,1167850.0148773487
2023-02-02,1162920.1249305261
2023-02-03,1155604.262456763
2023-02-06,1153025.0813710778
2023-02-07,1156422.2397131498
2023-02-08,1152874.7657574157
2023-02-09,1159721.8265897867
2023-02-10,1163268.4854964192
2023-02-13,1166736.7572969242
2023-02-14,1167578.7900746583
2023-02-15,1161912.9294608505
2023-02-16,1154762.1643536505
2023-02-17,1150575.98236674
2023-02-20,1173122.7808394015
2023-02-21,1177107.35908613
2023-02-22,1172778.9898859744
2023-02-23,1172875.7622257741
2023-02-24,1169952.6049555808
2023-02-27,1166920.59212866
2023-02-28,1176370.8947646378
2023-03-01,1186257.8249116088
2023-03-02,1190158.6856284994
2023-03-03,1202425.3623620765
2023-03-06,1197824.1510962772
2023-03-07,1190732.6926867336
2023-03-08,1191544.9573389473
2023-03-09,1191324.6255164884
2023-03-10,1178070.936266986
2023-03-13,1183954.978413831
2023-03-14,1177644.1623056077
2023-03-15,1183019.061187908
2023-03-16,1177508.8744597507
2023-03-17,1180976.601686389
2023-03-20,1178270.108173307
2023-03-21,1187498.1884171353
2023-03-22,1193487.6443629053
2023-03-23,1197849.6123186327
2023-03-24,1196962.8953264838
2023-03-27,1191697.610590523
2023-03-28,1192211.2964932362
2023-03-29,1185619.2564428463
2023-03-30,1194214.3227504375
2023-03-31,1192252.6402043558
2023-04-03,1199650.098276984
2023-04-04,1205922.4359452634
2023-04-06,1200910.7342871095
2023-04-07,1201008.1642131705
2023-04-10,1200606.2067281122
2023-04-11,1201400.430522628
2023-04-12,1203956.764541946
2023-04-13,1206939.7781968492
2023-04-14,1212990.1710504438
2023-04-17,1232682.9947389388
2023-04-18,1240146.5644711633
2023-04-19,1238446.0685859271
2023-04-20,1229859.6068383614
2023-04-21,1215499.2095228834
2023-04-24,1206592.5151644389
2023-04-25,1205598.7629073132
2023-04-26,1205189.4424840154
2023-04-27,1217931.6291236135
2023-04-28,1225597.849670673
2023-05-04,1244252.407167473
2023-05-05,1239942.4902314707
2023-05-08,1265257.462846127
2023-05-09,1255530.6393458014
2023-05-10,1253004.5444683768
2023-05-11,1253309.3959154123
2023-05-12,1243519.5332300067
2023-05-15,1252543.4289772366
2023-05-16,1250310.6853806116
2023-05-17,1244588.2913575452
2023-05-18,1238169.2954765789
2023-05-19,1244010.8453561303
2023-05-22,1253238.0414861725
2023-05-23,1240393.5227191509
2023-05-24,1223871.1004451048
2023-05-25,1215241.712879113
2023-05-26,1219408.4547412659
2023-05-29,1210228.337067764
2023-05-30,1207645.5957999052
2023-05-31,1202758.1479827198
2023-06-01,1201283.8276207582
2023-06-02,1223024.3353415476
2023-06-05,1217150.7618976221
2023-06-06,1201141.6362925225
2023-06-07,1197856.3532643572
2023-06-08,1210021.504611009
2023-06-09,1214663.8726097608
2023-06-12,1219273.2339304257
2023-06-13,1222289.6532502156
2023-06-14,1223116.9853887272
2023-06-15,1233301.6850734092
2023-06-16,1238919.2528670616
2023-06-19,1228924.221244159
2023-06-20,1219480.4542913865
2023-06-21,1209745.7699442317
2023-06-26,1194488.6830983718
2023-06-27,1210756.3169405577
2023-06-28,1213885.6544471218
2023-06-29,1207773.5931063264
2023-06-30,1219892.4134958829
2023-07-03,1237235.1665183273
2023-07-04,1236434.1336339398
2023-07-05,1234042.2054651105
2023-07-06,1227432.805254689
2023-07-07,1231899.348536819
2023-07-10,1235059.343984139
2023-07-11,1240541.1092600839
2023-07-12,1234045.338405696
2023-07-13,1250064.7291283526
2023-07-14,1249563.3139348726
2023-07-17,1246444.355422745
2023-07-18,1247556.289618076
2023-07-19,1252446.2926280473
2023-07-20,1248078.439997594
2023-07-21,1251180.5820722298
2023-07-24,1245042.9697362809
2023-07-25,1264820.9216945134
2023-07-26,1265352.28611573
2023-07-27,1264305.9468899157
2023-07-28,1297652.0546134892
2023-07-31,1302427.7479538221
2023-08-01,1305141.6240346502
2023-08-02,1294682.9161751051
2023-08-03,1304292.9117582017
2023-08-04,1302161.874807634
2023-08-07,1292350.112999546
2023-08-08,1293371.693208912
2023-08-09,1289363.9713326262
2023-08-10,1298082.4306093857
2023-08-11,1278549.947026909
2023-08-14,1277382.895169302
2023-08-15,1277338.531608512
2023-08-16,1269808.29728889
2023-08-17,1276285.8481583376
2023-08-18,1271647.5885584005
2023-08-21,1255431.2706362943
2023-08-22,1262029.4786052995
2023-08-23,1250886.1419475826
2023-08-24,1252734.0363961295
2023-08-25,1246999.4156231335
2023-08-28,1258843.7876666524
2023-08-29,1271373.2404005458
2023-08-30,1272636.219669048
2023-08-31,1267859.3174665065
2023-09-01,1281442.57984389
2023-09-04,1302084.399953961
2023-09-05,1298907.8473125403
2023-09-06,1296254.5532083276
2023-09-07,1281990.119777265
2023-09-08,1279690.747668036
2023-09-11,1288232.238550405
2023-09-12,1292397.6043137053
2023-09-13,1287215.7252133107
2023-09-14,1291584.9046780474
2023-09-15,1287201.6249238146
2023-09-18,1286712.3084439586
2023-09-19,1288801.6527312363
2023-09-20,1284746.592977535
2023-09-21,1276484.8007007781
2023-09-22,1289444.9668936587
2023-09-25,1284032.6312322533
2023-09-26,1279320.7599427928
2023-09-27,1279762.6858066765
2023-09-28,1276571.9403525356
2023-10-09,1272787.7552282484
2023-10-10,1264715.1997116846
2023-10-11,1262756.9762848027
2023-10-12,1272703.9628434752
2023-10-13,1259125.6999715474
2023-10-16,1247524.148189581
2023-10-17,1248860.4224312806
2023-10-18,1233346.9748144029
2023-10-19,1211324.510204601
2023-10-20,1208832.63848788
2023-10-23,1191399.3552059005
2023-10-24,1200732.6517530407
2023-10-25,1214318.4659453824
2023-10-26,1225390.7969669737
2023-10-27,1247713.9102362006
2023-10-30,1250349.4830450679
2023-10-31,1253782.625406748
2023-11-01,1250714.8817844351
2023-11-02,1246666.4094414478
2023-11-03,1248396.1797964524
2023-11-06,1255304.2633458984
2023-11-07,1254142.435703003
2023-11-08,1246787.9920358271
2023-11-09,1249472.6028521268
2023-11-10,1243511.4700492593
2023-11-13,1242941.093841084
2023-11-14,1244674.9871247297
2023-11-15,1251555.9264398809
2023-11-16,1245336.347036913
2023-11-17,1241991.8835453917
2023-11-20,1244972.6488535504
2023-11-21,1249525.5203687255
2023-11-22,1242818.6461838547
2023-11-23,1247684.6783997652
2023-11-24,1245393.9651668295
2023-11-27,1241685.5829690495
2023-11-28,1242261.7146966085
2023-11-29,1232260.7388532327
2023-11-30,1236176.8616962743
2023-12-01,1236643.3440190775
2023-12-04,1236062.1004549316
2023-12-05,1216819.6079065762
2023-12-06,1213181.816338221
2023-12-07,1213616.0529867413
2023-12-08,1220672.825358569
2023-12-11,1224382.1105225105
2023-12-12,1228524.9521172182
2023-12-13,1210885.4827944976
2023-12-14,1208236.8667668628
2023-12-15,1203954.4183553355
2023-12-18,1196060.6958417057
2023-12-19,1193839.5450426145
2023-12-20,1185127.5429387437
2023-12-21,1192140.5744474777
2023-12-22,1196633.968354367
2023-12-25,1198398.852628673
2023-12-26,1192089.2683852012
2023-12-27,1199526.864008633
2023-12-28,1221610.9414328258
2023-12-29,1223814.334576758
2024-01-02,1217735.6882691637
2024-01-03,1223620.8189308378
2024-01-04,1215999.66490114
2024-01-05,1213063.920018491
2024-01-08,1194664.965276128
2024-01-09,1199626.8257144627
2024-01-10,1198736.0675880378
2024-01-11,1203339.5850746434
2024-01-12,1201888.4868110397
2024-01-15,1202502.2644597418
2024-01-16,1209235.7134561343
2024-01-17,1186757.381774974
2024-01-18,1189220.9818153705
2024-01-19,1187631.0481645286
2024-01-22,1155496.057229037
2024-01-23,1170071.4782728993
2024-01-24,1195118.7559992347
2024-01-25,1230748.6960578498
2024-01-26,1228511.0846173922
2024-01-29,1217658.12442842
2024-01-30,1191563.0835232278
2024-01-31,1175124.1399991012
2024-02-01,1176601.930877349
2024-02-02,1156293.9804186889
2024-02-05,1146946.6008266897
2024-02-06,1216021.4395459567
2024-02-07,1239903.5966152193
2024-02-08,1256346.0217518192
2024-02-19,1264110.689252167
2024-02-20,1270595.9369525644
2024-02-21,1278684.0390809693
2024-02-22,1292493.356763067
2024-02-23,1301050.0381560035
2024-02-26,1287392.4264184912
2024-02-27,1300548.5684964005
2024-02-28,1282794.1597965793
2024-02-29,1310187.7135662562
2024-03-01,1308551.600137552
2024-03-04,1303756.1292172833
2024-03-05,1310955.6093202766
2024-03-06,1307813.6681108791
2024-03-07,1305797.9565113408
2024-03-08,1307255.546123923
2024-03-11,1311031.0231665256
2024-03-12,1310852.7564293712
2024-03-13,1300728.281376764
2024-03-14,1299299.374749068
2024-03-15,1308423.3366000315
2024-03-18,1318750.1718742903
2024-03-19,1309964.7004374256
2024-03-20,1310340.8213308435
2024-03-21,1307884.629187586
2024-03-22,1289476.5076225575
2024-03-25,1279797.973206502
2024-03-26,1288508.380882824
2024-03-27,1279379.9173883926
2024-03-28,1277663.5366864065
2024-03-29,1285815.427004376
2024-04-01,1303045.9469049869
2024-04-02,1299914.053758737
2024-04-03,1298320.5077013583
2024-04-08,1283258.112567934
2024-04-09,1289888.6449604072
2024-04-10,1280570.6703912795
2024-04-11,1282948.654852576
2024-04-12,1273266.035404359
2024-04-15,1294491.9247071284
2024-04-16,1279024.7515803361
2024-04-17,1306412.9949833632
2024-04-18,1308766.0233624124
2024-04-19,1301547.551953712
2024-04-22,1305848.2108046885
2024-04-23,1303753.0620380065
2024-04-24,1308656.35199595
2024-04-25,1314601.461285963
2024-04-26,1341679.596673272
2024-04-29,1360084.719320093
2024-04-30,1354120.8483535836
2024-05-06,1367349.02724372
2024-05-07,1363879.4129094908
2024-05-08,1356983.221196674
2024-05-09,1373937.3848229924
2024-05-10,1377133.8001205705
2024-05-13,1380453.393603757
2024-05-14,1381366.057562423
2024-05-15,1367836.6532203727
2024-05-16,1366816.088666038
2024-05-17,1382233.3395819787
2024-05-20,1387723.0258416147
2024-05-21,1384239.4858685704
2024-05-22,1388334.9329403844
2024-05-23,1372122.4370538443
2024-05-24,1370609.1881315233
2024-05-27,1380690.9374747495
2024-05-28,1372195.819328486
2024-05-29,1370920.998606475
2024-05-30,1368668.9796926142
2024-05-31,1366725.4894291132
2024-06-03,1366255.0032365888
2024-06-04,1373329.8339042016
2024-06-05,1369146.915925858
2024-06-06,1358365.4127088804
2024-06-07,1362223.579264403
2024-06-11,1356146.780626064
2024-06-12,1354466.041073099
2024-06-13,1344334.887729887
2024-06-14,1355572.7755977397
2024-06-17,1348145.7216720977
2024-06-18,1352339.7915287274
2024-06-19,1347107.1078550734
2024-06-20,1331079.717284844
2024-06-21,1329867.0290148347
2024-06-24,1320478.9574657036
2024-06-25,1316819.8222519048
2024-06-26,1331855.8162852852
2024-06-27,1325377.7446949752
2024-06-28,1320959.668646479
2024-07-01,1330717.1735111994
2024-07-02,1324037.8705857808
2024-07-03,1322378.9565471117
2024-07-04,1305324.3245618965
2024-07-05,1303332.4303337242
2024-07-08,1282098.16312835
2024-07-09,1297687.7749840354
2024-07-10,1296453.5141860535
2024-07-11,1325175.279170774
2024-07-12,1323873.5982118566
2024-07-15,1320599.7765732545
2024-07-16,1326209.722652507
2024-07-17,1338943.4911125835
2024-07-18,1347854.094105634
2024-07-19,1357393.5014188364
2024-07-22,1353754.8120686798
2024-07-23,1329404.6358302447
2024-07-24,1321462.7128203723
2024-07-25,1327532.8578800869
2024-07-26,1339438.061640696
2024-07-29,1335405.068206166
2024-07-30,1329507.1934514688
2024-07-31,1361413.5262892242
2024-08-01,1354451.7623575781
2024-08-02,1344670.402407452
2024-08-05,1331569.3681699547
2024-08-06,1336898.134435299
2024-08-07,1340758.0508686856
2024-08-08,1346470.24863732
2024-08-09,1341623.4244599247
2024-08-12,1338858.8849962465
2024-08-13,1343000.3645121402
2024-08-14,1330393.3472636698
2024-08-15,1342564.9043248796
2024-08-16,1342293.518419652
2024-08-19,1354357.3938942244
2024-08-20,1340526.1605879413
2024-08-21,1332728.1686827606
2024-08-22,1326716.5327278108
2024-08-23,1331454.1191151133
2024-08-26,1328201.140342099
2024-08-27,1319339.7249278554
2024-08-28,1318788.2935675657
2024-08-29,1326843.4692267424
2024-08-30,1350868.2849036397
2024-09-02,1329090.8100023256
2024-09-03,1332532.6993338976
2024-09-04,1325338.0587580546
2024-09-05,1331004.2471449028
2024-09-06,1322613.281405359
2024-09-09,1310513.3606647002
2024-09-10,1304808.2546796235
2024-09-11,1297873.6539901316
2024-09-12,1289542.2554906057
2024-09-13,1282967.5044394506
2024-09-18,1277791.9855821992
2024-09-19,1294915.4198338322
2024-09-20,1295300.1184095887
2024-09-23,1294584.5861553506
